                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96662,                0.47858,                0.95969,                0.62727,                0.60975,                0.63557,                0.41951,                 1.2198,                0.56809,                 1.0936,               0.000948,               0.000948,               0.000948
                     36,                0.95078,                  0.469,                0.95126,                0.61026,                0.63854,                0.63508,                0.41917,                 1.2191,                0.56377,                 1.0916,             0.00093385,             0.00093385,             0.00093385
                     37,                0.95967,                0.46989,                0.94911,                0.61709,                 0.6084,                0.63154,                0.41635,                 1.2252,                0.56233,                 1.0883,              0.0009197,              0.0009197,              0.0009197
                     38,                0.94671,                0.46695,                0.95271,                0.60564,                0.61208,                0.63143,                0.41571,                 1.2169,                0.56907,                 1.0964,             0.00090556,             0.00090556,             0.00090556
                     39,                0.92742,                0.45885,                0.94715,                0.62641,                0.58923,                0.63321,                0.42228,                 1.2093,                0.55722,                 1.0948,             0.00089141,             0.00089141,             0.00089141
                     40,                0.93877,                0.46324,                0.95065,                0.62135,                 0.5905,                0.62941,                0.41819,                  1.208,                0.56322,                 1.0886,             0.00087726,             0.00087726,             0.00087726
                     41,                0.94165,                0.46367,                0.95016,                0.61742,                0.61153,                0.62882,                0.41625,                  1.228,                0.56345,                  1.098,             0.00086312,             0.00086312,             0.00086312
                     42,                0.93429,                0.45631,                0.94527,                0.61087,                0.62475,                0.63115,                0.41583,                 1.2215,                0.55759,                 1.0934,             0.00084897,             0.00084897,             0.00084897
                     43,                0.93536,                0.46158,                0.94456,                0.62448,                 0.5975,                0.63439,                0.41975,                 1.2119,                0.55322,                 1.0869,             0.00083482,             0.00083482,             0.00083482
                     44,                0.92751,                0.45323,                0.94367,                0.62666,                0.60778,                0.62746,                0.41412,                 1.2179,                0.55958,                 1.0921,             0.00082067,             0.00082067,             0.00082067
                     45,                0.93196,                 0.4573,                0.94542,                0.66385,                0.59613,                0.63561,                0.42128,                 1.2233,                 0.5551,                 1.0969,             0.00080653,             0.00080653,             0.00080653
                     46,                0.92262,                0.44879,                0.93995,                0.63804,                0.61014,                0.63514,                0.41866,                 1.2283,                0.55931,                 1.0996,             0.00079238,             0.00079238,             0.00079238
                     47,                0.91886,                0.44858,                0.94521,                0.59727,                0.62355,                0.63282,                0.41788,                 1.2125,                0.54877,                 1.0937,             0.00077823,             0.00077823,             0.00077823
                     48,                0.92114,                0.45283,                0.94156,                0.63736,                0.60428,                0.63182,                0.41923,                 1.2209,                0.55367,                 1.0958,             0.00076409,             0.00076409,             0.00076409
                     49,                0.90587,                0.44482,                0.93476,                0.62799,                0.60954,                0.63153,                0.41788,                 1.2143,                0.54942,                 1.0889,             0.00074994,             0.00074994,             0.00074994
                     50,                0.90487,                0.44341,                0.93501,                0.62405,                0.59234,                0.63217,                0.41673,                 1.2193,                0.55301,                  1.102,             0.00073579,             0.00073579,             0.00073579
                     51,                0.89951,                0.43936,                0.93211,                0.64224,                0.59388,                 0.6318,                0.41979,                 1.2134,                0.55315,                  1.094,             0.00072164,             0.00072164,             0.00072164
                     52,                0.89323,                0.43852,                0.93247,                0.62458,                0.59197,                0.63235,                0.41883,                 1.2221,                0.55535,                 1.0968,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.8979,                0.43594,                0.93246,                0.63618,                0.59956,                0.63083,                0.41802,                 1.2232,                 0.5528,                 1.0995,             0.00069335,             0.00069335,             0.00069335
                     54,                0.88506,                0.42894,                0.92826,                0.64656,                0.62114,                0.63331,                0.41858,                   1.22,                0.55103,                 1.0968,              0.0006792,              0.0006792,              0.0006792
                     55,                0.88573,                0.43251,                 0.9303,                0.62351,                0.59499,                0.63194,                0.41989,                 1.2184,                0.54517,                 1.0963,             0.00066506,             0.00066506,             0.00066506
                     56,                0.87208,                0.42204,                0.92832,                0.62351,                0.59243,                0.63138,                0.42066,                 1.2162,                0.54782,                 1.0954,             0.00065091,             0.00065091,             0.00065091
                     57,                0.88436,                0.43002,                 0.9307,                0.63084,                0.60635,                0.63541,                0.41903,                 1.2262,                0.54681,                 1.0984,             0.00063676,             0.00063676,             0.00063676
                     58,                0.87342,                0.42421,                0.92788,                0.65035,                0.61217,                0.63441,                0.41877,                 1.2192,                0.54187,                 1.0984,             0.00062262,             0.00062262,             0.00062262
                     59,                0.87572,                0.42168,                0.92245,                0.62304,                0.61962,                 0.6353,                0.42216,                 1.2156,                0.54248,                 1.0932,             0.00060847,             0.00060847,             0.00060847
                     60,                0.87111,                0.42494,                0.92332,                0.61425,                0.63058,                0.63512,                0.41872,                 1.2244,                0.55107,                 1.0981,             0.00059432,             0.00059432,             0.00059432
                     61,                0.86417,                0.41437,                0.92123,                0.63164,                0.60028,                0.63396,                0.42039,                 1.2151,                0.54759,                 1.0981,             0.00058017,             0.00058017,             0.00058017
                     62,                0.86831,                0.41998,                0.91881,                0.61464,                0.59999,                0.62985,                0.41552,                 1.2207,                0.54806,                 1.0969,             0.00056603,             0.00056603,             0.00056603
                     63,                0.85992,                0.41566,                0.91515,                0.63988,                0.60147,                0.63241,                0.41833,                 1.2182,                0.54316,                 1.0986,             0.00055188,             0.00055188,             0.00055188
                     64,                0.85861,                0.41595,                0.91563,                0.62872,                  0.601,                0.63103,                0.41881,                 1.2202,                0.54168,                 1.0997,             0.00053773,             0.00053773,             0.00053773
                     65,                0.85077,                0.40884,                0.91785,                0.65276,                0.60081,                 0.6322,                0.41854,                 1.2168,                0.54179,                 1.0986,             0.00052359,             0.00052359,             0.00052359
                     66,                0.84814,                0.40654,                0.91637,                0.64584,                0.61182,                0.63436,                0.42195,                  1.214,                0.53763,                 1.0977,             0.00050944,             0.00050944,             0.00050944
                     67,                0.84436,                0.40669,                0.91415,                0.65238,                0.59694,                0.63251,                0.42126,                  1.214,                0.53895,                 1.1015,             0.00049529,             0.00049529,             0.00049529
                     68,                0.84475,                0.40529,                0.91308,                 0.6343,                0.61176,                0.63264,                0.42207,                 1.2109,                0.53925,                 1.0982,             0.00048114,             0.00048114,             0.00048114
                     69,                0.84404,                0.41003,                0.91706,                 0.6548,                0.60988,                0.63273,                 0.4197,                 1.2242,                0.53643,                 1.1075,               0.000467,               0.000467,               0.000467
                     70,                0.83681,                0.39828,                0.91363,                 0.6478,                0.61974,                 0.6333,                0.42044,                 1.2161,                0.53714,                 1.1063,             0.00045285,             0.00045285,             0.00045285
                     71,                0.82821,                0.40102,                  0.911,                 0.6521,                0.59529,                0.63498,                0.42169,                 1.2201,                0.53633,                 1.1011,              0.0004387,              0.0004387,              0.0004387
                     72,                0.81623,                0.39483,                0.90938,                0.65543,                0.59523,                0.63723,                0.42407,                 1.2171,                0.53889,                 1.1011,             0.00042456,             0.00042456,             0.00042456
                     73,                0.82896,                0.40075,                0.91208,                0.64817,                0.61214,                0.63439,                0.42152,                 1.2186,                0.53976,                 1.1012,             0.00041041,             0.00041041,             0.00041041
                     74,                0.82582,                 0.3986,                0.90846,                0.67296,                0.59775,                0.63613,                0.42142,                 1.2192,                0.53821,                  1.105,             0.00039626,             0.00039626,             0.00039626
                     75,                0.81152,                0.39214,                0.90412,                0.66812,                0.59405,                0.63427,                0.42096,                 1.2179,                0.53838,                 1.1007,             0.00038211,             0.00038211,             0.00038211
                     76,                0.81528,                0.39403,                0.90679,                0.65691,                 0.5974,                0.63116,                0.42048,                 1.2159,                0.53394,                 1.1009,             0.00036797,             0.00036797,             0.00036797
                     77,                0.82298,                0.39498,                0.90723,                0.66654,                0.59873,                0.63157,                0.42012,                 1.2159,                0.53155,                 1.0996,             0.00035382,             0.00035382,             0.00035382
                     78,                0.81479,                0.39098,                0.90539,                0.64991,                0.60215,                0.63116,                0.41965,                 1.2146,                 0.5299,                 1.1023,             0.00033967,             0.00033967,             0.00033967
                     79,                0.81463,                0.39468,                0.90227,                0.65282,                 0.5977,                 0.6305,                0.41913,                 1.2204,                0.53361,                  1.104,             0.00032553,             0.00032553,             0.00032553
                     80,                0.80393,                0.38522,                0.90256,                0.65002,                0.60092,                 0.6299,                0.41943,                 1.2229,                0.53233,                 1.1029,             0.00031138,             0.00031138,             0.00031138
                     81,                0.80877,                0.38742,                0.90161,                0.67325,                0.60324,                0.62946,                0.41795,                 1.2161,                0.53317,                 1.1032,             0.00029723,             0.00029723,             0.00029723
                     82,                0.80678,                0.38737,                0.90367,                0.65901,                  0.609,                   0.63,                0.41687,                 1.2222,                0.52939,                 1.1066,             0.00028308,             0.00028308,             0.00028308
                     83,                0.81058,                0.38506,                 0.9031,                0.64222,                 0.6012,                0.62924,                0.41843,                 1.2204,                 0.5272,                 1.1083,             0.00026894,             0.00026894,             0.00026894
                     84,                0.79842,                0.38518,                0.89865,                 0.6444,                0.60161,                0.62956,                 0.4184,                 1.2204,                 0.5299,                 1.1032,             0.00025479,             0.00025479,             0.00025479
                     85,                0.79283,                0.38307,                0.89993,                0.63444,                0.60701,                0.62818,                0.41802,                 1.2196,                0.53024,                 1.1047,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.7942,                0.38249,                0.89643,                0.66325,                0.59731,                0.62915,                0.41903,                  1.217,                0.53048,                  1.104,              0.0002265,              0.0002265,              0.0002265
                     87,                0.78318,                0.37581,                0.89742,                0.66294,                0.59646,                 0.6298,                0.41921,                 1.2161,                0.53167,                 1.1037,             0.00021235,             0.00021235,             0.00021235
                     88,                0.78195,                0.37706,                0.90101,                0.64705,                0.60234,                0.62833,                0.41695,                 1.2204,                0.53213,                 1.1084,              0.0001982,              0.0001982,              0.0001982
                     89,                0.78653,                0.37554,                0.89889,                0.65382,                 0.5991,                0.62969,                0.41861,                 1.2203,                0.52914,                 1.1072,             0.00018406,             0.00018406,             0.00018406
                     90,                0.78315,                0.37498,                0.89785,                0.65797,                0.59343,                0.62893,                0.41875,                 1.2206,                0.53295,                 1.1074,             0.00016991,             0.00016991,             0.00016991
                     91,                  0.768,                0.33003,                0.88766,                0.66558,                0.59232,                0.62696,                0.41513,                 1.2168,                0.53965,                 1.1111,             0.00015576,             0.00015576,             0.00015576
                     92,                0.75485,                0.32367,                0.88438,                0.66021,                0.60456,                0.62778,                0.41775,                 1.2156,                0.54244,                 1.1102,             0.00014161,             0.00014161,             0.00014161
                     93,                0.74706,                0.32262,                0.88294,                0.64977,                0.61239,                0.62749,                0.41859,                 1.2129,                0.54179,                 1.1119,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.7463,                0.31922,                0.88207,                0.66068,                0.60891,                0.62708,                0.41762,                 1.2143,                0.53986,                 1.1133,             0.00011332,             0.00011332,             0.00011332
                     95,                0.73779,                0.32042,                0.88221,                0.66599,                0.60881,                0.62903,                0.41903,                 1.2145,                0.54026,                 1.1142,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                  0.732,                0.31505,                0.87839,                0.65362,                0.60988,                0.62945,                0.41941,                 1.2155,                0.54362,                 1.1157,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.72423,                0.31342,                0.87453,                0.65339,                 0.6098,                0.62904,                0.41892,                  1.216,                0.54136,                 1.1163,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.72311,                0.31184,                0.87629,                0.64651,                0.61021,                0.62905,                0.41895,                 1.2153,                0.54148,                 1.1186,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.72649,                0.31295,                0.87835,                0.64166,                0.61201,                0.62853,                0.41843,                 1.2158,                0.54242,                 1.1187,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.72256,                0.31138,                0.87408,                0.65828,                0.60956,                0.62887,                0.41979,                 1.2149,                0.54211,                 1.1171,             2.8437e-05,             2.8437e-05,             2.8437e-05
