                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1301,                 0.6138,                 1.0259,                0.76085,                0.61123,                0.64103,                 0.4179,                 1.2116,                0.57187,                 1.0724,               0.000948,               0.000948,               0.000948
                     36,                 1.1153,                 0.5986,                 1.0184,                0.61767,                0.60545,                0.63721,                0.41524,                 1.2156,                 0.5671,                 1.0847,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.1231,                0.59346,                 1.0159,                0.61371,                0.59333,                0.63638,                0.41269,                 1.2191,                0.56653,                 1.0796,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.1135,                0.59217,                 1.0206,                0.95174,                0.59298,                0.63834,                0.41779,                 1.2119,                0.56549,                  1.081,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0963,                0.58759,                 1.0129,                0.95167,                0.59306,                0.63672,                0.42001,                 1.1979,                0.55805,                 1.0761,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.1028,                 0.5861,                 1.0182,                0.61697,                0.59022,                0.63793,                0.41876,                 1.2001,                0.55968,                 1.0772,             0.00087726,             0.00087726,             0.00087726
                     41,                  1.104,                0.58884,                 1.0163,                 0.6186,                0.60654,                0.63572,                0.41178,                  1.222,                0.57246,                 1.0832,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0996,                0.58226,                 1.0118,                0.61294,                0.63162,                 0.6393,                 0.4191,                 1.2041,                0.56426,                 1.0783,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0957,                0.58022,                 1.0104,                0.62046,                0.59291,                0.63727,                0.41983,                 1.1929,                0.55853,                 1.0752,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0867,                0.57487,                 1.0116,                0.61536,                0.59591,                0.63577,                0.41812,                 1.1968,                0.55923,                 1.0754,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0972,                0.57802,                 1.0149,                0.61748,                0.59606,                0.63999,                0.42312,                 1.1947,                0.55327,                 1.0764,             0.00080653,             0.00080653,             0.00080653
